comment;Label
"Tüm bunlarýn yaný sýra çalýþanlarýn ücretli izin süreleri de o þirketteki kýdemlerine ve çalýþtýklarý süreye göre deðiþiklik göstermektedir. Bu baðlamda 1 yýldan 5 yýla kadar çalýþmýþ olan kiþilere 14 gün, 6 yýldan 14 yýla kadar çalýþmýþ olan kiþilere 20 gün, 15 yýl ve daha fazla çalýþmýþ olan kiþilere de yýllýk olarak 26 günlük ücretli izin hakký verilir. Bu yüzden deneme süresi de dahil edildiðinde en az 1 yýl çalýþmamýþ olan iþçiler yýllýk izin hakkýna sahip deðildirler. Ayný þekilde 18 yaþýndan küçük ve 50 yaþýndan büyük olan iþçilerin de yýllýk ücretli izin süreleri en az 20 gün olmak durumundadýr. Yani örnek vermek gerekirse; 16 yaþýndaki bir iþçi henüz 5 yýl kadar çalýþmamýþ olsa bile 14 günlük deðil 20 günlük yýllýk izin hakkýna sahip olur. Ancak bu durum 18 yaþýna kadar geçerli olur.";HumanResource
Çalýþanlarýn hafta tatilleri ve resmi tatilleri yýllýk izin süreleri içerisine dahil edilmemektedir. Eðer 14 günlük yýllýk iznini kullanmak isteyen bir iþçinin izin süresine 2 gün olarak hafta tatili ya da herhangi bir resmi tatil denk geliyor ise bu süre çalýþanýn izin süresine ilave edilir. Yani çalýþan 2 günlük hafta tatili ile beraber toplamda 16 günlük yýllýk izin hakký kullanýr.;HumanResource
Ücretsiz izin çerçevesinde iþ sözleþmesi askýya alýnmaktadýr. Yani çalýþan bu süre için çalýþmakla mükellef deðildir, ayný þekilde iþveren de çalýþana ücret ödeme ile mükellef deðildir. Bu ücretsiz izin teklinin iþverenden gelmesi halinde bunun iþçiye yazýlý bir þekilde iletilmesi gerekir. Ayný þekilde iþçi de bu teklife 6 iþ günü içinde yazýlý olarak cevap vermek zorundadýr. Ancak bilinmesi gerekir ki çalýþan istemiyorsa iþveren tek taraflý olarak çalýþanýnýn ücretsiz izne ayrýlmasýný saðlayamaz. Bu noktada tek taraflý istekler geçerli olmamaktadýr.;HumanResource
Memurlar hastalandýklarý ve bu hastalýklarýný doktor raporuyla desteklemeleri halinde izinli sayýlýrlar. Kanser, verem ve akýl hastalýklarý gibi tedavi süreçleri uzun olan hastalýklarda on sekiz aya kadar diðer hastalýklarda ise on iki aya kadar izin verilir.;HumanResource
Bilindiði üzere 657 sayýlý Kanunda devlet memurlarý için disiplin cezalarý öngörülmüþtür. ;HumanResource
Ýþçinin iþlediði fiilin aðýrlýðýna göre belirlenen bu disiplin cezalarý 657 sayýlý Kanunda ayrýntýlarýyla düzenlenmiþtir.;HumanResource
Ýþçiler ise 4857 sayýlý Ýþ Kanununa tabidir. O halde, iþçiler hakkýnda uygulanabilecek disiplin cezalarý için Ýþ Kanununa bakýlmasý gerekir.;HumanResource
657 sayýlý Kanun tereddüde yer vermeden hem disiplin cezalarýný hem de bu cezalara neden olan fiilleri tek tek açýklamýþtýr.;HumanResource
Ýþ Kanununda disiplin cezalarý Devlet Memurlarý kanununda beþ adet disiplin cezasý öngörülmüþtür. Memurun eyleminin niteliðine göre bu cezalar uyarma, kýnama, aylýktan kesme, kademe ilerlemesinin durdurulmasý ve memuriyetten çýkarýlmadýr. ;HumanResource
"Ýþ Kanununda ise belirlenmiþ bir disiplin cezasý yoktur. Öyle ki; Ýþ Kanunu disiplin cezalarýna dair hiçbir hüküm içermemektedir. Peki bu durum, iþçiye disiplin cezasý verilmeyeceði anlamýna mý gelir?";HumanResource
"Ýþ Kanunu neyi düzenlemiþtir? Bu konuda Ýþ Kanunu, iþçinin hangi hallerde haklý nedenle iþten çýkarýlabileceðini düzenlemekle yetinmiþtir. Genel kural da; iþ sözleþmeleriyle ve toplu iþ sözleþmeleriyle, iþçi aleyhine olmamak kaydýyla her tür kuralýn belirlenebilmesidir.";HumanResource
Bu iki hükmü bir arada deðerlendirdiðimizde, disiplin hükümlerinin iþ sözleþmeleriyle ya da toplu iþ sözleþmeleriyle koyulabileceðini görürüz. Burada temel ölçüt, koyulacak hükümlerin iþ Kanununun iþçilere saðladýðý haklara geriye götürmemesine dikkat etmektir.;HumanResource
 Disiplin cezalarý nasýl belirlenebilir? Ýþyeri genelinde uygulanacak disiplin cezalarý için, bu cezalarýn düzenleyici bir iþlemle belirlenmesi ve iþçilere teblið edilmesi gerekir. Bu bazen toplu iþ sözleþmesi eki ceza cetvelleriyle yapýlýrken, bazen de iþyeri disiplin uygulama yönetmelikleriyle yapýlýr. Ýþçilere teblið edildikten sonra da artýk bu hükümlerin baðlayýcýlýðý vardýr.;HumanResource
Bu tür cetveller ya da iç yönetmeliklerle iþçiler için uyarý, kýnama ve benzeri disiplin cezalarý getirilebilir.;HumanResource
"Hatta bunlarla, iþçinin iþ akdinin hangi hallerde feshedilebileceði dahi belirlenebilir. Ama hangi ceza söz konusu olursa olsun, Ýþ Kanununun iþçiye tanýdýðý haklarý geri götürmemelidir. Örneðin Ýþ Kanununda arka arkaya 2 iþ günü iþe gelmeyen iþçinin iþ sözleþmesinin haklý nedenle feshedilebileceði belirlenmiþken, bu süre asla 1 güne düþürülemez; ancak 3 güne çýkarýlabilir.";HumanResource
"Ya da iþçiye verilecek ücret kesme cezalarý belirlenirken; Ýþ Kanununun 38inci maddesinde yer alan ve “Ýþçi ücretlerinden yapýlacak kesintilerin 1 ayda 2 gündelikten veya parça baþýna ya da yapýlan iþ miktarýna göre verilen ücretlerde iþçinin 2 günlük kazancýndan fazla olamayacaðý” hükmünün göz ardý edilmesi mümkün deðildir.";HumanResource
Ýþ Kanununda iþçiler için belirlenmiþ disiplin cezasý çeþitleri yoktur. Ancak bu, bu tür cezalarýn belirlenemeyeceði anlamýna gelmez.;HumanResource
Ýþ sözleþmesine koyulmasý, toplu iþ sözleþmesinde yer almasý ya da iþyeri uygulama yönetmelikleriyle belirlenmiþ olmasý halinde disiplin cezalarý belirlenebilir. Üstelik bu cezalarýn isimleri ve nitelikleri iþyeri tarafýndan serbestçe belirlenebilir.;HumanResource
Ancak belirlenen bu cezalarýn, Ýþ Kanununun iþçiler ile ilgili koyduðu kurallarý onlarýn aleyhine geniþletmemesi veya daraltmamasý gerekir.;HumanResource
"Ýþ sözleþmesinde veya toplu iþ sözleþmesinde disiplin cezalarýna iliþkin hükümlerin bulunmamasý ya da iþyeri disiplin yönetmeliði olmamasý halinde ise; iþçilere, çeþitli adlarda disiplin cezasý verilmesi mümkün olmayacaktýr.";HumanResource
Ýþçinin mesai saatlerinin deðiþtirilmesi;HumanResource
Ýþçinin çalýþma koþullarý iþ sözleþmesiyle belirlenir. Ýþ sözleþmesiyle belirlenmeyen alanlarda da Ýþ Kanununun emredici hükümleri geçerlidir. ;HumanResource
Ýþçinin çalýþma süresini belirleme yetkisi iþverende olsa da, belirlenen sürelerin Ýþ Kanununa aykýrý olmamasý gerekir. Peki bu çalýþma saatleri deðiþtirilmek istendiðinde iþçinin haklarý nelerdir?;HumanResource
Ýþçinin çalýþma saatleri deðiþtirilirken, iþçi lehine ya da aleyhine deðiþtirilebilir. Önemli olan bu deðiþikliðin iþçiye olan etkisidir. Ýþçinin çalýþma saatlerinin deðiþtirilmesi durumunu ikiye ayýrmamýz gerekmektedir: iþçinin aleyhine olmayan deðiþiklikler ile iþçi aleyhinde sonuç doðuran deðiþiklikler.;HumanResource
Ýþyerinde uygulanan çalýþma saatinin azaltýldýðý ya da çok küçük dokunuþlarla revize edildiði durumlarda, iþçinin bu düzenlemeyi kabul etmemesi doðru olmaz.;HumanResource
Örneðin çalýþma süresinin yarým saat azaltýldýðý ya da iþe baþlama ve bitiþ saatlerinin yarýmþar saat ileri alýndýðý bir durumda iþçinin iþi býrakmak için haklý bir nedeni olduðunu söylemek mümkün olmayacaktýr.;HumanResource
Ýþçinin çalýþma saatlerinde meydana gelen deðiþiklik ona olumsuz bir etki yapýyorsa sonuç farklýlaþacaktýr. Böyle bir durumda öncelikle iþ sözleþmesine bakmak gerekir.;HumanResource
"Sözleþmede, iþverenin iþçinin çalýþma saatlerini deðiþtirebileceðine, iþçinin peþinen onay verdiðine dair açýk bir hüküm varsa; iþçi bu deðiþikliði kabul etmek zorundadýr.";HumanResource
Böyle bir hüküm olmamasý halinde ise iþçi, çalýþma koþullarýnda esaslý deðiþiklik anlamýna gelen bu yeni düzenlemeyi kabul etmek zorunda deðildir. Buna dayanarak iþ akdini haklý nedenle ve kýdem tazminatýný da alarak feshedebilir.;HumanResource
Ýþçinin çalýþma saatlerinin deðiþtirilmesinin ona olumsuz bir etkisi yoksa, iþçi bu deðiþikliði sebep göstererek haklý nedenle iþten ayrýlamaz.;HumanResource
Ayný þekilde iþ sözleþmesinde, çalýþma saati deðiþikliklerine iþçinin peþinen onayý varsa, iþçi yine bu deðiþiklik nedeniyle haklý nedenle iþten ayrýlamaz.;HumanResource
"Ancak çalýþma saatlerindeki deðiþikliklere iþçinin iþ sözleþmesinde ya da baþka bir evrakta peþinen rýzasý yoksa ve yapýlan bu deðiþiklik objektif olarak iþçiyi olumsuz etkiliyorsa; iþçinin, Ýþ Kanununun 24/II-f maddesi gereðince kýdem tazminatýný da alarak haklý nedenle derhal fesih hakký bulunmaktadýr.";HumanResource
Çin’in Wuhan kentinde ortaya çýkan ve tüm dünyayý kaplayan Corona virüsü Türkiye’de de hayatý etkiledi. Bu kapsamda okullar ve üniversiteler 16 mart 2020 tarihinden itibaren tatil edildi. Peki ama Korona virüsü nedeniyle kapanan okullarda çalýþan iþçilerin maaþý ne olacak? Salgýn hastalýk dolayýsýyla iþe gitmeyen iþçilerin haklarý neler? Korona yüzünden iþe gitmeyen iþçiye ücret ödenir mi?;HumanResource
"Yazýnýn ana konusuna cevap verebilmek için önce bir baþka kavramý iyi tanýmak gerekir. Ýþ Kanununun 22’nci maddesinde açýklanan; ancak tanýmý yapýlmayan “esaslý deðiþiklik” birtakým sonuçlarý da beraberinde getirir.";HumanResource
" Korona / Corona virüsü nedir? Bu sorunun cevabý sitemizi aþar; çünkü teknik ve saðlýða dair bir konu. Ancak okuyucularýn daha iyi anlamasý için þu baðlantýyý mutlaka ziyaret etmelerini öneririm:";HumanResource
Korona virüsü nedeniyle iþe gitmemek  4857 sayýlý Ýþ Kanununa tabi bir iþçinin mazeretsiz iþe gitmemesi mümkün deðildir. Bu konuda Ýþ Kanunu çok önemli yaptýrýmlar öngörmüþtür. Ýþçi art arda 2 iþ günü iþe gitmezse iþten tazminatsýz çýkarýlabilir. Ayrýca bir aylýk süre içinde farklý 3 iþ günü iþe gitmezse yine çýkarýlabilir. Yine bir aylýk süre içinde, tatilden sonraya denk gelen 2 iþ günü mazeretsiz iþe gelmeyen iþçinin iþ sözleþmesi de haklý nedenle derhal feshedilebilir.O halde iþçi mutlaka ama mutlaka mazerete dayanarak devamsýzlýk yapmalýdýr.;HumanResource
